                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.85705,                 2.9581,                 1.2009,                0.00643,                0.82926,                0.34519,                0.26574,                0.76517,                 3.3995,                 1.1112,                 0.0002,                 0.0002,                 0.0002
                      2,                  0.857,                 1.9478,                 1.2123,                0.91774,                 0.1389,                0.39591,                0.29063,                0.85314,                 3.0437,                 1.1527,             0.00040433,             0.00040433,             0.00040433
                      3,                0.84385,                 1.7042,                 1.2056,                0.40886,                0.33678,                0.36087,                0.25497,                0.98511,                 2.8344,                 1.2916,             0.00060025,             0.00060025,             0.00060025
                      4,                0.82661,                 1.5025,                 1.1791,                0.71386,                0.54887,                0.56995,                0.39399,                 1.0194,                 2.4127,                  1.356,             0.00078775,             0.00078775,             0.00078775
                      5,                0.93125,                 1.5469,                 1.2264,                0.57655,                0.51399,                0.51699,                0.33438,                  1.087,                 2.3514,                 1.3543,             0.00096684,             0.00096684,             0.00096684
                      6,                0.86879,                 1.4518,                  1.207,                0.65877,                0.57769,                0.65235,                  0.466,                0.94171,                 2.1003,                 1.2833,              0.0011263,              0.0011263,              0.0011263
                      7,                0.91294,                 1.4051,                 1.2254,                0.52779,                0.50672,                0.45199,                0.30108,                 1.0316,                 2.6201,                 1.3889,              0.0011263,              0.0011263,              0.0011263
                      8,                0.94441,                 1.4866,                 1.2481,                0.37898,                0.64947,                0.49849,                0.31098,                 1.0439,                 2.4402,                 1.3373,              0.0011015,              0.0011015,              0.0011015
                      9,                0.88852,                 1.3893,                 1.2296,                0.51461,                0.71261,                0.64096,                 0.4313,                 1.0073,                 1.8391,                 1.2967,              0.0010768,              0.0010768,              0.0010768
                     10,                0.93091,                  1.396,                 1.2378,                0.75876,                0.55317,                0.68334,                0.43669,                 1.1847,                 2.2988,                 1.4639,               0.001052,               0.001052,               0.001052
                     11,                0.87627,                 1.2203,                 1.1849,                0.70849,                 0.7329,                0.75687,                0.52518,                0.98304,                 1.6681,                 1.3057,              0.0010273,              0.0010273,              0.0010273
                     12,                0.86983,                 1.3011,                 1.1784,                0.77474,                0.67978,                0.72643,                0.47889,                0.97308,                 1.7824,                 1.3014,              0.0010025,              0.0010025,              0.0010025
                     13,                0.83762,                   1.14,                 1.1784,                0.68986,                 0.6609,                0.66775,                 0.4171,                 1.1324,                 2.1971,                 1.3997,             0.00097775,             0.00097775,             0.00097775
                     14,                0.84462,                 1.1194,                  1.173,                0.65832,                 0.6582,                0.68765,                0.48047,                0.97592,                 1.8072,                 1.3009,               0.000953,               0.000953,               0.000953
