                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.85729,                 2.9584,                  1.201,                0.00625,                0.83187,                0.34309,                0.26786,                0.78211,                 3.3681,                 1.1208,                 0.0002,                 0.0002,                 0.0002
                      2,                0.85704,                 1.9388,                  1.214,                0.80516,                0.23255,                0.41102,                0.30533,                0.86829,                 2.9298,                 1.1664,             0.00040433,             0.00040433,             0.00040433
                      3,                0.84677,                 1.7079,                  1.198,                0.41881,                0.36484,                0.37737,                0.26104,                  1.046,                 2.8087,                 1.3505,             0.00060025,             0.00060025,             0.00060025
                      4,                0.81294,                 1.4831,                 1.1662,                0.52752,                0.54145,                0.55341,                0.40721,                0.94796,                 2.5492,                  1.273,             0.00078775,             0.00078775,             0.00078775
                      5,                0.90856,                 1.4868,                 1.2197,                0.60259,                0.54176,                0.52013,                0.37558,                0.99272,                 2.2327,                 1.3163,             0.00096684,             0.00096684,             0.00096684
                      6,                0.85265,                 1.4148,                 1.1874,                0.83046,                0.49298,                0.62888,                0.42814,                0.94345,                 2.4287,                 1.3173,              0.0011263,              0.0011263,              0.0011263
                      7,                0.91812,                 1.4243,                 1.2226,                0.53283,                0.62902,                0.58453,                0.38902,                 1.0504,                 2.1449,                 1.3997,              0.0011263,              0.0011263,              0.0011263
                      8,                0.97099,                 1.5043,                 1.2577,                0.63472,                0.44669,                0.48514,                0.32734,                0.98508,                 2.3165,                 1.2752,              0.0011015,              0.0011015,              0.0011015
                      9,                0.88455,                 1.3642,                 1.2209,                0.67212,                 0.6981,                0.70794,                0.48178,                 0.9546,                 1.8173,                 1.2658,              0.0010768,              0.0010768,              0.0010768
                     10,                0.88827,                 1.3775,                  1.217,                 0.6456,                0.72037,                 0.7269,                0.48766,                0.99782,                 2.4372,                 1.3536,               0.001052,               0.001052,               0.001052
                     11,                0.87816,                 1.2302,                 1.1781,                0.67986,                0.57468,                0.66615,                 0.4373,                 1.0685,                 1.9235,                 1.3754,              0.0010273,              0.0010273,              0.0010273
                     12,                0.89961,                 1.2732,                 1.2008,                0.53837,                0.68564,                0.60393,                0.39175,                 1.0431,                 1.9689,                 1.3332,              0.0010025,              0.0010025,              0.0010025
                     13,                0.83196,                 1.1834,                 1.1765,                0.66262,                0.69789,                0.67801,                0.48952,                0.95517,                 1.6737,                 1.2406,             0.00097775,             0.00097775,             0.00097775
                     14,                0.84069,                 1.1328,                 1.1815,                0.76642,                0.67725,                0.73508,                0.52457,                0.89089,                 1.4614,                 1.1898,               0.000953,               0.000953,               0.000953
                     15,                0.84199,                 1.1288,                 1.1708,                 0.6572,                0.73808,                0.71556,                 0.4877,                 0.9265,                 1.5592,                 1.2443,             0.00092825,             0.00092825,             0.00092825
                     16,                0.85087,                  1.097,                 1.1701,                0.75442,                0.68479,                0.77254,                0.53548,                0.95642,                 1.4299,                 1.2107,              0.0009035,              0.0009035,              0.0009035
                     17,                0.79803,                  1.071,                 1.1458,                0.69002,                0.70707,                0.74296,                 0.5589,                0.90258,                 1.4045,                 1.2067,             0.00087875,             0.00087875,             0.00087875
                     18,                0.79082,                  1.041,                 1.1103,                0.72477,                0.70019,                0.73888,                0.52787,                0.91938,                 1.4342,                 1.2101,               0.000854,               0.000854,               0.000854
                     19,                0.78221,                0.99856,                 1.1194,                0.76002,                0.75036,                0.78949,                0.56734,                0.86959,                 1.3429,                 1.1645,             0.00082925,             0.00082925,             0.00082925
                     20,                0.77718,                 1.0109,                 1.1216,                0.68034,                0.83421,                0.79003,                0.57136,                 0.9279,                 1.3366,                 1.1948,              0.0008045,              0.0008045,              0.0008045
                     21,                0.80293,                0.99384,                 1.1383,                0.70272,                0.77681,                 0.7765,                0.57318,                0.84392,                 1.2304,                 1.1452,             0.00077975,             0.00077975,             0.00077975
                     22,                0.74646,                0.92707,                 1.1032,                0.81806,                 0.7399,                0.80279,                0.57525,                0.87381,                 1.1944,                 1.1809,               0.000755,               0.000755,               0.000755
                     23,                0.70839,                0.89668,                 1.0969,                0.77517,                0.79357,                0.84094,                0.62687,                0.80757,                 1.1419,                 1.1306,             0.00073025,             0.00073025,             0.00073025
                     24,                0.74958,                0.91422,                 1.1113,                0.72978,                0.82921,                0.82017,                 0.6252,                0.80273,                 1.1775,                 1.1111,              0.0007055,              0.0007055,              0.0007055
                     25,                0.72331,                0.87283,                 1.0852,                 0.8093,                0.76963,                 0.8315,                0.61936,                 0.8494,                 1.1673,                 1.1549,             0.00068075,             0.00068075,             0.00068075
                     26,                0.74603,                 0.8304,                  1.069,                0.86381,                0.78427,                 0.8491,                 0.6086,                0.89534,                 1.1548,                 1.1667,               0.000656,               0.000656,               0.000656
                     27,                0.71576,                0.81103,                 1.0776,                0.89822,                0.77996,                0.87527,                0.67668,                0.79019,                 1.0122,                 1.1067,             0.00063125,             0.00063125,             0.00063125
                     28,                0.68273,                0.78779,                 1.0631,                0.80215,                0.87502,                0.85212,                 0.6494,                0.79383,                 1.0078,                 1.1069,              0.0006065,              0.0006065,              0.0006065
                     29,                0.68987,                 0.7619,                 1.0758,                0.81353,                0.80315,                 0.8322,                0.59342,                0.80164,                 1.0994,                 1.1113,             0.00058175,             0.00058175,             0.00058175
                     30,                 0.6755,                0.78567,                 1.0704,                0.88704,                0.76047,                0.83022,                0.62521,                0.76133,                  0.984,                 1.0848,               0.000557,               0.000557,               0.000557
                     31,                0.69804,                0.75964,                 1.0676,                0.89876,                0.77985,                0.86505,                0.63883,                0.79335,                 0.9478,                 1.1073,             0.00053225,             0.00053225,             0.00053225
                     32,                0.68206,                0.75032,                  1.061,                0.81285,                0.86179,                0.86684,                0.67189,                0.75873,                0.88012,                 1.0786,              0.0005075,              0.0005075,              0.0005075
                     33,                0.64669,                 0.6918,                 1.0341,                0.92195,                0.77173,                0.85708,                0.66038,                0.75596,                0.90265,                 1.0905,             0.00048275,             0.00048275,             0.00048275
                     34,                0.62035,                0.66726,                 1.0307,                0.88124,                0.78088,                0.84132,                0.63757,                   0.75,                0.94324,                 1.0906,               0.000458,               0.000458,               0.000458
                     35,                0.61201,                0.67767,                  1.036,                 0.8779,                0.82432,                0.85522,                0.64513,                0.75322,                0.90527,                 1.0805,             0.00043325,             0.00043325,             0.00043325
                     36,                0.63394,                0.67937,                 1.0312,                0.89483,                0.83225,                0.86449,                0.65574,                0.73721,                0.93257,                 1.0669,              0.0004085,              0.0004085,              0.0004085
                     37,                0.60775,                0.67632,                 1.0378,                0.83647,                0.85056,                0.85848,                0.66672,                0.73093,                0.86978,                 1.0751,             0.00038375,             0.00038375,             0.00038375
                     38,                0.63841,                0.67949,                 1.0455,                0.92535,                 0.8132,                0.86849,                0.67883,                0.70536,                0.83223,                 1.0483,               0.000359,               0.000359,               0.000359
                     39,                0.60858,                 0.6416,                 1.0201,                0.88835,                 0.8376,                0.88054,                0.69319,                0.69203,                0.80418,                 1.0347,             0.00033425,             0.00033425,             0.00033425
                     40,                0.56548,                0.61101,                 1.0042,                0.90448,                0.82687,                 0.8849,                0.68769,                 0.6953,                0.77407,                 1.0474,              0.0003095,              0.0003095,              0.0003095
                     41,                0.55481,                0.81893,                0.98359,                0.94156,                0.77779,                 0.8507,                 0.6546,                0.72449,                 0.9765,                 1.0855,             0.00028475,             0.00028475,             0.00028475
                     42,                0.53058,                0.76078,                0.96605,                0.85933,                0.81811,                0.85101,                0.65174,                 0.7338,                0.98065,                 1.0954,                0.00026,                0.00026,                0.00026
                     43,                0.52869,                 0.6619,                0.97623,                0.88675,                0.81635,                0.86583,                0.66793,                0.71111,                0.83545,                 1.0777,             0.00023525,             0.00023525,             0.00023525
                     44,                0.50952,                0.64161,                 0.9685,                0.88179,                0.82353,                0.87318,                0.66851,                0.68689,                0.82679,                 1.0491,              0.0002105,              0.0002105,              0.0002105
                     45,                0.50859,                 0.6133,                0.94884,                0.84729,                0.83903,                0.87824,                0.67401,                0.67437,                0.78127,                 1.0414,             0.00018575,             0.00018575,             0.00018575
                     46,                0.48299,                0.56955,                0.94226,                0.85194,                0.85499,                0.88532,                0.68458,                0.67438,                0.74646,                 1.0364,               0.000161,               0.000161,               0.000161
                     47,                0.48035,                0.60371,                0.94572,                 0.8723,                0.86332,                0.89219,                0.69107,                0.66131,                0.74776,                 1.0214,             0.00013625,             0.00013625,             0.00013625
                     48,                 0.4872,                0.57731,                0.95276,                0.94159,                0.78348,                0.89246,                0.69834,                0.66595,                0.75959,                  1.025,              0.0001115,              0.0001115,              0.0001115
                     49,                0.46707,                 0.5651,                0.92643,                0.93285,                0.79401,                  0.883,                 0.6957,                0.65692,                0.75393,                 1.0318,              8.675e-05,              8.675e-05,              8.675e-05
                     50,                0.45778,                0.54635,                0.93475,                0.92616,                0.79649,                0.88467,                0.69054,                0.66042,                0.73092,                  1.032,                6.2e-05,                6.2e-05,                6.2e-05
